id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.coadvisor,dc.contributor.coadvisor[],dc.contributor.edition,dc.contributor[],dc.coverage.spatial[],dc.coverage.spatial[es_ES],dc.coverage.temporal[es_ES],dc.creator,dc.creator[],dc.date.embargoEnd[],dc.date.issued,dc.date.issued[],dc.description.abstract[],dc.description.abstract[es_ES],dc.description.affiliation[],dc.description.affiliation[es_ES],dc.description.extra[es_ES],dc.description.peerreviewed[es_ES],dc.description.sponsorship[es_ES],dc.format[],dc.format[es_ES],dc.identifier.citation[],dc.identifier.citation[es_ES],dc.identifier.doi,dc.identifier.doi[],dc.identifier.isbn,dc.identifier.isbn[],dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[],dc.language.iso[es_ES],dc.publisher[],dc.publisher[es_ES],dc.relation.dataset[es_ES],dc.relation.hasversion[],dc.relation.isbasedon[],dc.relation.isversionof[],dc.relation.projectid[es_ES],dc.relation.references[],dc.relation.references[es_ES],dc.rights.holder[es_ES],dc.rights.uri[*],dc.rights.use[*],dc.rights.use[es_ES],dc.rights[es_ES],dc.source[es_ES],dc.subject[],dc.subject[es_ES],dc.title.alternative[es_ES],dc.title[es_ES],dc.type.snrd[es_ES],dc.type.version[es_ES],dc.type[es_ES],dcterms.publisher[es_ES]
"1818","20.500.12272/5645",,"Guichard, Santiago Nicolás",,,,"Guichard, Santiago Nicolás",,,,"Guichard, Santiago Nicolás||Oñate, Germán Martín",,,"2016",,,"Este proyecto final de carrera fue llevado a cabo con la finalidad de construir un conjunto de aplicaciones web que permitan dar soporte a los procesos relacionados con la gestión de pedidos a domicilio, focalizándose en los siguientes rubros: comidas, helados y bebidas.

El avance tecnológico ha llegado a todos los rincones del mundo generando nuevas aplicaciones utilizadas en diferentes ámbitos. Las mismas son accesibles desde distintos dispositivos ayudando a tener mayor información de manera más ordenada y más accesible.

A nivel nacional, un gran número de empresas, existentes y nuevas, envían sus productos a domicilio y otras no lo hacen debido al costo o al trabajo adicional que ello requiere. A su vez, los consumidores en cada ocasión que requieren realizar algún pedido no poseen un medio centralizado de información, que abarque distintos rubros.

El producto que construimos está orientado a dar soporte a los procesos involucrados en la gestión de pedidos y envíos a domicilios, a través del desarrollo de aplicaciones web con distintos fines y tipos de usuarios.

La característica principal que diferencia nuestro servicio del resto, se encuentra en que no nos concentramos únicamente en los clientes que realizan los pedidos, sino que ofrecemos una herramienta a los comerciantes que permite simplificar y unificar la gestión de su negocio.

Nuestro servicio pretende alentar a los nuevos y pequeños comerciantes a poner el nombre de su negocio frente a una inmensa cartera de clientes, y afianzar a los comerciantes con más trayectoria generando publicidad y ofreciendo sus productos delante de clientes que pueden acceder a los mismos desde cualquier lugar y desde cualquier dispositivo.",,"Fil: Oñate, Germán. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Guichard, Santiago Nicolás. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina.","Director Ing. Lisandro Vrancken","Peer Reviewed",,"application/pdf",,,"Guichard, S. N. & Oñate, G. M. (2017). PedíRápido : plataforma web de gestión de pedidos con envío a domicilio (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,"http://hdl.handle.net/20.500.12272/2904",,,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Los autores","http://creativecommons.org/licenses/by-nc-sa/4.0/||http://creativecommons.org/licenses/by-nc-nd/4.0/","Atribución-NoComercial-CompartirIgual 4.0 Internacional||Attribution-NonCommercial-NoDerivatives 4.0 Internacional","Licencia Creative Commons","info:eu-repo/semantics/openAccess",,,"Web||Pedidos||Negocios||Delivery||Clientes",,"PedíRápido : plataforma web  de gestión de pedidos con envío a domicilio","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"1816","20.500.12272/5645",,"Gómez, José Ignacio",,,,"Gómez, José Ignacio",,,,,"Gómez, José Ignacio||Milesi, Fernando||Zen, Francisco","2018-09-20",,"2017",,"El presente Proyecto Final de Carrera consiste en el desarrollo e implementación de un sistema de información web orientado a dar soporte a las tareas que se desarrollan en un consultorio de kinesiología. Esto incluye la gestión de pacientes y sus historias clínicas, la gestión de turnos, sesiones y tratamientos, el registro de movimientos de caja, entre otras actividades.

El problema a resolver, que impulsó la ejecución del proyecto se centró en la ineficiencia en la gestión de tareas diarias, la pérdida de información y las irregularidades surgidas producto de realizar los procesos sin soporte informático. Debíamos comprender el dominio, modelarlo, organizar y validar los conceptos, para luego implementar un sistema que permita llevar a cabo las actividades mencionadas antes. Además, y con similar importancia, se presentaban determinados atributos no funcionales a atender, como la facilidad de uso, seguridad de la información y portabilidad.

Si bien el sistema desarrollado como parte de este proyecto final brinda soporte a los procesos que la clínica posee, provee además a los especialistas de ciertas capacidades que mejoran su experiencia con los pacientes y con la información manejada. Entre estas características podemos mencionar las estadísticas, que brindan la posibilidad de realizar un seguimiento de información relevante y dar soporte a la toma de decisiones. Asimismo, también contribuyen las notificaciones, que permiten dar aviso a los especialistas acerca de ciertos eventos y recordatorios; y los recordatorios para los pacientes, enviados para que éstos no olviden los turnos previamente reservados. De esta manera, el sistema de información mejora la experiencia tanto de los especialistas que trabajan en la clínica como de los pacientes que acuden a ella.

El objetivo general establecido para el proyecto fue desarrollar un sistema de información web que brinde las funcionalidades necesarias para dar soporte integrado a las actividades diarias del consultorio de kinesiología, que fue llevado a cabo exitosamente a través del cumplimiento de los distintos objetivos particulares definidos. A lo largo del informe se describen las actividades y resultados de cada uno de los procesos de desarrollo de software, así como también los cambios de alcance y riesgos manejados como parte de la gestión integral del proyecto.",,"Fil: Gómez, José Ignacio. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Milesi, Fernando. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Zen, Francisco. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina.",,"Peer Reviewed",,"application/zip",,,"Gómez, J. I., Milesi, F. & Zen, F. (2017). Desarrollo de un sistema informático de gestión para un consultorio de kinesiología (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,,"http://hdl.handle.net/20.500.12272/2903",,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Los autores","http://creativecommons.org/licenses/by-nc-nd/4.0/","Attribution-NonCommercial-NoDerivatives 4.0 Internacional","Licencia Creative Commons","info:eu-repo/semantics/openAccess",,,"Sistema de gestión",,"Desarrollo de un sistema informático de gestión para un consultorio de kinesiología","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"583","20.500.12272/5645",,"Gutiérrez, María de los Milagros",,,,,,,,,"Bosquiazzo, Darío Andrés",,,"2016-07",,"Existen muchas personas que, debido a alteraciones en funciones motrices, sensoriales y/o cognitivas, tienen limitaciones para ejercer actividades básicas como el habla. Dentro de este colectivo de personas existen aquellos que no han podido alcanzar un habla funcional que les permita comunicarse con su entorno, expresar sus necesidades personales y mantener los vínculos sociales necesarios para su desarrollo.
Sus necesidades de comunicación los motivan a buscar vías alternativas de expresión a través de códigos distintos de la palabra hablada. Estas necesidades especiales son atendidas por los denominados Sistemas Aumentativos y Alternativos de Comunicación (SAAC).  Los SAAC son formas de expresión distintas al lenguaje hablado, que tienen como objetivo aumentar (aumentativos) y/o compensar (alternativos) las dificultades de comunicación y lenguaje de personas con discapacidad.
Un ejemplo típico de SAAC son los denominados sistemas pictográficos. En este tipo de sistemas cada imagen (pictograma) representa un concepto de uso común: comer, jugar, escuela, amigo, etc. Los sistemas pictográficos están destinados a personas que no están alfabetizadas, ya sea a causa de la edad o la discapacidad, y tiene la flexibilidad de permitir llevar adelante una comunicación desde un nivel muy básico hasta uno muy rico y avanzado.
El desarrollo de la tecnología está poniendo a disposición de las personas con discapacidad un amplio abanico de opciones para seleccionar el software más adecuado a sus demandas y adaptado a sus necesidades. Los SAAC han tenido un importante impulso a raíz de la popularización de los dispositivos como tabletas y celulares. Estos dispositivos, utilizados como soporte de apoyo para la comunicación, presentan muchas ventajas: facilitan su traslado, actúan según la lógica más simple y poseen el componente táctil que permite disminuir el tiempo entre una acción y su consecuencia alentando la atención y el interés por parte del usuario.
La mayoría de los SAAC gráficos que se han desarrollado para dispositivos (tabletas, celulares) se centran en la comunicación directa cara a cara, es decir que tanto el emisor como el receptor del mensaje deben encontrarse en el mismo ambiente físico. Esto supone una seria barrera en la comunicación de la persona con discapacidad al no contar con herramientas que le permitan alcanzar las mismas posibilidades de comunicación que el resto de los usuarios que cuentan, por ejemplo, con entornos estables de mensajería online. Es evidente que trasladar los sistemas pictográficos a la mensajería instantánea impulsaría la participación social de la persona con discapacidad al favorecer el intercambio de mensajes sin límite de tiempo ni espacio.
Hay que destacar que la participación social es un derecho fundamental de todas las personas, independientemente de sus capacidades. En este sentido las nuevas tecnologías se han convertido en uno de los pilares de la comunicación y de la interacción social de las personas y deben ser aprovechadas por todos independientemente de su edad, género, situación social o diversidad funcional.",,"Fil: Bosquiazzo, Darío Andrés. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina",,"Peer Reviewed",,"application/pdf",,,"Bosquiazzo, Darío Andrés (2016). Servicio alternativo y aumentativo de mensajería instantánea (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,,"http://hdl.handle.net/20.500.12272/1389",,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Darío Andrés Bosquiazzo","http://creativecommons.org/licenses/by-nc-sa/2.5/ar/","Atribución-NoComercial-CompartirIgual 2.5 Argentina","Creative Commons 2.5 Argentina","info:eu-repo/semantics/openAccess",,,"Sistema alternativo y aumentativo de comunicación||Mensajería instantánea||Sistemas pictográficos",,"Servicio alternativo y aumentativo de mensajería instantánea","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"589","20.500.12272/5645",,"Giorgetti, Carlos",,,,,,,,,"Citroni, Bruno||Pierini, Maximiliano",,,"2016",,"El objetivo principal del presente trabajo es el desarrollo e implementación de un sistema integral de gestión y administración de alumnos e instalaciones para el Movimiento Los Sin Techo, el cual abarca dos ramas educativas: Primero Mi Primaria y Jardines. Tiene como finalidad no solo la digitalización de la información, sino también la posibilidad de acceder a reportes generados por los módulos principales del sistema.
Como producto final se presenta un Sistema Web integrado que permite al cliente tener información actualizada en tiempo real de su área educativa, pudiendo acceder a la misma desde cualquier dispositivo con acceso a internet.
El Sistema de Información posee un conjunto de  módulos que no sólo permite contar con información consistente y accesible sobre docentes, instituciones educativas, alumnos, sino que también propicia el libre acceso a información, así como la generación de una cultura de uso de información para la gestión y toma de decisiones.
Adicionalmente la creación de dicho sistema genera un gran beneficio, ya que el movimiento cuenta con un sistema de información que además de apoyar su gestión, posibilita que estos le informen a la comunidad y a los integrantes del movimiento sobre el uso de los recursos y los resultados del servicio educativo.",,"Fil: Citroni, Bruno. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina||Fil: Pierini, Maximiliano. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina",,"Peer Reviewed",,"application/pdf",,,"Citroni, B. y Pierini, M. (2016). SESE : sistema de educación y seguimiento escolar (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,,"http://hdl.handle.net/20.500.12272/1388",,"spa",,,,,,,,,,,"http://creativecommons.org/licenses/by-nc-sa/2.5/ar/","Atribución-NoComercial-CompartirIgual 2.5 Argentina","Creative Commons 2.5 Argentina","info:eu-repo/semantics/openAccess",,,"Educación||Sistema web||Movimiento Los sin techo||Digitalización||Gestión educativa",,"SESE. Sistema de educación y seguimiento escolar","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis","Universidad Tecnológica Nacional. Facultad Regional Santa Fe"
"448","20.500.12272/5645",,"Colautti, Alejandro",,,,"Colautti, Alejandro",,,,"Colautti, Alejandro||Mathurin, Andrés",,,"2016",,,"En una empresa de servicios, el principal recurso productivo son las personas que los
producen. Por lo tanto, los recursos humanos son el componente económico más importante y el
factor de éxito de la misma ya que la ventaja competitiva está relacionada positivamente sobre
todo con las capacidades de los recursos humanos (Gómez Paz, J. 2010). Así, la correcta asignación
de estos recursos a las diferentes tareas de la organización se vuelve fundamental para
mantenerse competitiva.
Este proyecto se basa en la utilización de la ingeniería ontológica como tecnología de la
web semántica para la resolución de problemas empresariales. En este caso, la empresa Gut
Catering tiene la necesidad de recurrir a una herramienta de software que de soporte a la
asignación de recursos humanos a eventos, procedimiento que hasta el momento se lleva a cabo
en forma totalmente manual y a cargo de una sola persona, lo que conlleva mayores tiempos,
riesgos de desorganización y quizás a la asignación inadecuada de los recursos humanos
disponibles. Con este proyecto se pretende dar solución a esta situación, ya que el producto será
un sistema recomendador que permita, a quien se encargue de llevar a cabo la asignación
definitiva de empleados a un evento, contar con posibles soluciones objetivas que faciliten y
agilicen el proceso de decisión.",,"Fil: Colautti, Alejandro. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina||Fil: Mathurin, Andrés. Universidad Tecnológica Nacional. Facultad Regional Santa Fe; Argentina",,"Peer Reviewed",,"application/pdf",,,"Colautti, A., & Mathurin, A. (2016). Aplicación de software basada en tecnología de la web semántica para la asignación de recursos humanos a eventos de catering (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,"http://hdl.handle.net/20.500.12272/1041",,,"spa",,,,,,,,,,,"http://creativecommons.org/licenses/by-nc-sa/3.0/us/","Attribution-NonCommercial-ShareAlike 3.0 United States","Su uso se destina para fines académicos","info:eu-repo/semantics/openAccess",,,"Sistema recomendador||Ontología||Eventos||Web semántica||Aplicación web||Recursos humanos",,"Aplicación de software basada en tecnología de la web semántica para la asignación de recursos humanos a eventos de catering","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"368","20.500.12272/5644",,"Ramajo, Damián E.||Corzo, Santiago F.",,,,,,,,,"Godino, Dario Martín",,,"2016",,"El gran aumento que ha demostrado en los últimos años la energía nuclear, ha incrementado la necesidad de seguir investigando y actualizando métodos para evaluar el funcionamiento y las respuestas de una central ante posibles accidentes.
Desde hace más de cuatro décadas se vienen desarrollando códigos que permiten resolver el circuito primario y secundario junto con todos los sistemas de una central. Pero estos códigos no permiten estudiar en detalle lo que sucede en un determinado componente. 
Gracias a los actuales recursos computacionales, se puede analizar lo que sucede en un componente puntual como por ejemplo un generador de vapor,  en donde no solo se utilizan los parámetros de
funcionamiento sino que se construye una geometría real del componente.
En esta tesina se realizó el estudio de un generador de vapor mediante la simulación por mecánica de fluidos computacional (CFD). Elmodelo de estudio que se utilizó es el de una facilidad experimental
canadiense denominada RD-14M, la cual representa en forma escalada un reactor tipo CANDU6.
La simulación se efectuó mediante la utilización de la plataforma OpenFoam, que es un paquete de solvers de código abierto que permite resolver problemas de dinámica de los fluidos mediante métodos numéricos.
La construcción del modelo computación se realizó modelando el generador de vapor como un conjunto. Posteriormente para realizar la simulación se separó el circuito primario del secundario; y se utilizó para cada uno de ellos solver diferentes. Antes de simular cada uno de estos circuitos, se realizaron modelos
simplificados, que permitieron validar los solvers utilizado como también estudiar el comportamiento de determinadas variables y compararlas con los cálculos analíticos y el código RELAP.
Finalmente se realizó la simulación de los modelos reales, analizando luego los datos obtenidos. Para ambos circuitos se pudieron obtener datos valiosos que permitieron entender mejor como es el funcionamiento de este componente y caracterizar determinadas variables en estudio.",,"Fil: Godino, Dario Martín. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina",,"Peer Reviewed",,"application/pdf",,,"Godino, Dario M. (2016). Simulación termohidráulica de un generador de vapor de una central nuclear mediante mecánica de fluidos computacional (Proyecto final de carrera). Universidad Tecnológica Nacional, Facultad Regional Santa Fe, Argentina.",,,,,,,,"http://hdl.handle.net/20.500.12272/931",,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Dario Martín Godino","http://creativecommons.org/licenses/by-nc-sa/3.0/us/","Attribution-NonCommercial-ShareAlike 3.0 United States","Creative Commons 3.0","info:eu-repo/semantics/openAccess",,,"RD-14M||Generador de vapor||CFD||CANDU||OpenFOAM||RELAP",,"Simulación termohidráulica de un generador de vapor de una central nuclear mediante mecánica de fluidos computacional","info:ar-repo/semantics/tesis de grado","info:eu-repo/semantics/acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"5231","20.500.12272/5644","Benzi, Sebastián",,"Monti, Rubén",,,,,,,"Torrens, Brian José||Pianetti, Marcos Dino",,,"2020",,,"La generación de una automatización en la línea de producción de sachets de grasa contempla
varios aspectos; la misma involucra desde el diseño de la maquinaria para provocar el movimiento
correspondiente hasta la programación del conjunto para la coordinación de todos los elementos. 
En este proyecto de ingeniería, se busca introducir el diseño de los componentes de transporte
básicos para llevar los sachets de un punto a otro y un método de encajonamiento simple para una
correcta colocación de la mercancía dentro de los habitáculos correspondientes para su transporte, como
así también evaluar un sistema de pesaje que permita el control del mismo durante la producción sin
generar un parar de esta o acumulación de los productos.
No obstante, el mismo no contempla la realización de la programación correspondiente para la
coordinación de cada uno de los elementos involucrados en el transporte y la manipulación.",,"Fil: Torrens, Brian José. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Pianetti, Marcos Dino. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"pdf",,,,,,,,,"http://hdl.handle.net/20.500.12272/5667",,,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Los autores","http://creativecommons.org/licenses/by-nc-sa/4.0/||Atribución-NoComercial-CompartirIgual 4.0 Internacional",,"Creative Commons","openAccess",,,"Recolección y transporte de sachet||Encajado",,"Desarrollo de sistema automático de encajado para sachet de grasa bovina y porcina",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"5475","20.500.12272/5644",,"Benzi, Sebastián",,"Monti, Rubén",,,,,,,"Puz, Franco Agustín||Müller, Ariel Iván",,,"2021-12-17",,"El Pick and Place es un sistema robótico diseñado para automatizar procesos industriales donde se toman elementos de innumerable variedad en tamaños, formas, texturas, colores, etc. de un punto determinado del universo y se lo deposita en otro según la necesidad del proceso.  Estas operaciones, de las cuales deriva su nombre (Pick and place – Recoger y colocar), pueden repetirse periódicamente con una velocidad y precisión imposible de lograr con cualquier sistema no automatizado.  Existen en la industria gran variedad de estos equipos en los cuales se combinan movimientos de traslación y rotación respecto a uno o varios ejes coordenados.  Al robot genérico se le adapta una pinza la cual toma, sostiene y libera el producto. Estas pinzas pueden ser mecánicas, neumáticas, magnéticas o alguna combinación de las antes mencionadas según sea la finalidad particular de dicho robot.",,"Fil: Puz, Franco Agustín. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Müller, Ariel Iván. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"pdf",,,,,,,,,,"http://hdl.handle.net/20.500.12272/5868",,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Los autores","http://creativecommons.org/licenses/by-nc-sa/4.0/||Atribución-NoComercial-CompartirIgual 4.0 Internacional",,"Creative Commons","openAccess",,,"Pick and place||Automatización",,"Robot plano de coordenadas cartesianas",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"4956","20.500.12272/5644",,,,,,,,,,,"Alloatti, Martín",,,"2020-12-23",,"Se optó por recurrir a la solución del problema de los sistemas de carga de los mixer verticales debido a
que los sistemas actuales conllevan en la utilización de dos tractores para poder concretar la operación,
uno para la carga del mixer y otro para transportar el mixer.
Con el sistema de carga propuesto, se eliminaría la necesidad de utilizar un segundo tractor y la necesidad de contar con dos operarios para realizar la operación, además de permitir flexibilidad en los tipos de alimentos a cargar, pudiendo cargar granos enteros o quebrados, materia orgánica picada almacenada y materia orgánica seca.",,"Fil: Alloatti, Martín. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"application/pdf",,,,,,,,,,"http://hdl.handle.net/20.500.12272/5422",,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Martín Alloatti","http://creativecommons.org/licenses/by-nc-nd/4.0/||Attribution-NonCommercial-NoDerivatives 4.0 Internacional",,"Creative Commons","info:eu-repo/semantics/openAccess",,,"Máquinas agricolas",,"Sistema de carga continua para mixer",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"5049","20.500.12272/5644","Audicio, Abel",,,,,,,,,"Maguiña Coltrinari, Guillermo Aaron",,,"2020",,,"La idea del proyecto viene dada por la necesidad de reutilizar el escombro, dado que la gran parte de escombro generado no es reciclado, sino que más bien es tirado o enviado a otra ciudad para su tratamiento.
Se pretende con este proyecto, generar un impacto ambiental, enfocándome en reciclar todo el escombro generado dentro de la ciudad de Santa Fe y alrededores.
Supone también un aprovechamiento económico al reutilizar los residuos no deseados por las empresas constructoras y reutilizarlos como materia prima en la obra de construcción que se va a realizar.
Entonces, el objetivo de este proyecto consistirá en el cálculo y diseño de una trituradora de residuos de construcción o escombros por sistema de impacto, para así transformar exitosamente una amplia gama de desechos de demolición y construcción en un producto aceptable para comercializarlo. El producto final será definido por el tamaño de grano del cual se pretende que sea lo suficientemente reducido para poder usarlo en la estabilización de suelos y carreteras y mantenimiento de vías, teniendo un producto
estable y de mayor dureza.",,"Fil: Maguiña Coltrinari, Guillermo Aaron. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"application/pdf",,,,,,,,,"http://hdl.handle.net/20.500.12272/5490",,,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Guillermo Aaron Maguiña Coltrinari","http://creativecommons.org/licenses/by-nc-sa/4.0/||Atribución-NoComercial-CompartirIgual 4.0 Internacional",,"Creative Commons","info:eu-repo/semantics/openAccess",,,"Trituradora de impacto horizontal",,"Cálculo y diseño de trituradora de impacto horizontal para escombros de demolición",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"4958","20.500.12272/5644","Bär, Martín Alejandro",,,,,,,,,"Antoniazzi, Gabriel",,,"2021-03-26",,,"El presente informe de proyecto final de carrera de Ingeniería Mecánica trata del uso de energía térmica para el secado y planchado de indumentaria. Se planteará un diseño de maquinaria para lavanderías y tintorerías comerciales, con un modelo ajustado a los servicios disponibles, de manera tal que se reduzcan los tiempos de procesos y así con este equipo de capacidad similar a los ya existentes en los comercios, reeemplazar varias unidades. De esta manera se estima que el comerciante obtendrá un ahorro importante a largo plazo de mantenimiento y consumo energético, que lo percibirá en su bolsillo de manera ventajosa. Se desarrollarán los cálculos, diseño y planimetría del equipo, con su respectivo sistema de control y automatismo.",,"Fil: Antoniazzi, Gabriel. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"application/pdf",,,,,,,,,"http://hdl.handle.net/20.500.12272/5423",,,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Gabriel Antoniazzi","http://creativecommons.org/licenses/by-nc-sa/4.0/||Atribución-NoComercial-CompartirIgual 4.0 Internacional",,"Creative Commons","info:eu-repo/semantics/openAccess",,,"Máquina de planchado||Máquina de secado",,"Prensa de secado y planchado de indumentarias PS-1800",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"4946","20.500.12272/5644","Raimondi, Raúl",,,,,,,,,"Darriba, Maximiliano",,,"2020",,,"Este proyecto final de carrera tiene como meta el diseño de una maquina engrafadora, entendiéndose como engrafado a toda operación mediante la cual es posible unir dos piezas de chapa separadas, o los extremos de una tira de chapa curvada, mediante una doble acción de bordonado (creación de una garganta circular en un recipiente cilíndrico de chapa), con el fin de obtener una unión hermética.
Particularmente este proyecto tiene el enfoque esta dado para engrafar silenciadores de caños
de escapes de automóviles de formas ovaladas.
En un primer capítulo 1 haremos una breve introducción a la temática desarrollada.
En el capítulo 2 analizaremos la problemática que nos lleva a plantear el objetivo de realizar la
máquina.
En el capítulo 3 se describe la operación de engrafado.
En el capítulo 4 se desarrolla toda la característica de la pieza que se necesita engrafar.
En este capítulo 5 se desarrolla una descripción detallada del proyecto de maquina final diseñado como solución a la problemática planteada.
En este capítulo 6 se desarrolla todo los cálculos realizados tanto para la determinación de cargas para la selección y/o verificación de los elementos utilizados para poder llevar a cabo nuestro proyecto propuesto.
También se realiza un conclusión del proyecto de maquina desarrollado. Por último se encuentran los apéndices con bibliografía, referencias y anexos utilizados, donde los anexos describen los planos con detalles constructivos y de montaje para la materialización la máquina, como así también los catálogos con especificaciones de los elementos estándares.",,"Fil: Darriba, Maximiliano. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"application/pdf",,,,,,,,,"http://hdl.handle.net/20.500.12272/5415",,,"spa",,"Universidad Tecnológica Nacional. Facultad Regional Santa Fe",,,,,,,,"Maximiliano Darriba","http://creativecommons.org/licenses/by-nc-nd/4.0/||Attribution-NonCommercial-NoDerivatives 4.0 Internacional",,"Creative Commons","info:eu-repo/semantics/openAccess",,,"Diseño de maquinaria",,"Diseño de máquina engrafadora para fabricación de sistemas de escapes ovalados para vehículos",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
"4915","20.500.12272/5644","Monti, Rubén",,,,,,,,,"Blanc, Ignacio Antonio||Gómez, Ricardo Lionel",,,"2020-12-23",,,"La idea del desarrollo de una máquina de ensamblado para el dispositivo intrauterino llamado Pro-Ciclar, fue tomada de una empresa de origen argentino radicada en la ciudad de Santa Fe, la cual se dedica a la elaboración de productos veterinarios tanto para animales domésticos como de granja.",,"Fil: Blanc, Ignacio Antonio. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.||Fil: Gómez, Ricardo Lionel. Universidad Tecnológica. Nacional. Facultad Regional Santa Fe; Argentina.",,,,,"application/pdf",,,,,,,,,"http://hdl.handle.net/20.500.12272/5402",,,"spa",,,,,,,,,,"Los autores","http://creativecommons.org/licenses/by-nc-nd/4.0/||Attribution-NonCommercial-NoDerivatives 4.0 Internacional",,"Creative Commons","info:eu-repo/semantics/openAccess",,,"Máquina ensambladora",,"Máquina ensambladora de DIU bovino",,"acceptedVersion","info:eu-repo/semantics/bachelorThesis",
